Name,Prop,Line,Team,Opponent,Per_Min_L5,Per_Min_Avg,Variance,Confidence%,Matchup Scalar,Samples
Austin Reaves,u7.5 Rebounds + Assists,,LAL,,18.00,20.90,2.00,5.0,0.93,5
Isaiah Hartenstein,u17.5 Pts + Reb + Ast,,OKC,,1.80,2.00,2.00,5.0,0.97,5
Isaiah Hartenstein,u6.5 Rebounds,,OKC,,1.80,2.00,2.10,5.0,0.98,5
Isaiah Hartenstein,u16.5 Pts + Reb + Ast,,OKC,,1.80,2.00,2.00,5.0,0.97,5
Isaiah Hartenstein,u15.5 Pts + Reb + Ast,,OKC,,1.80,2.00,2.00,5.0,0.97,5
Isaiah Hartenstein,u1.5 Assists,,OKC,,1.80,2.00,1.90,5.0,0.97,5
Jaxson Hayes,u6.5 Points + Rebounds,,LAL,,3.00,3.10,2.00,5.0,0.99,5
Jaylin Williams,u2.5 Rebounds,,OKC,,4.20,4.00,2.10,5.0,1.02,5
LeBron James,u30.5 Points + Assists,,LAL,,1.60,1.50,2.00,5.0,1.01,5
LeBron James,u29.5 Points + Assists,,LAL,,1.60,1.50,2.00,5.0,1.01,5
LeBron James,u34.5 Pts + Reb + Ast,,LAL,,1.60,1.50,2.00,5.0,1.01,5
Luke Kennard,u4.5 Rebounds + Assists,,LAL,,1.00,1.30,2.00,5.0,0.97,5
LeBron James,u33.5 Pts + Reb + Ast,,LAL,,1.60,1.50,2.00,5.0,1.01,5
LeBron James,u28.5 Points + Assists,,LAL,,1.60,1.50,2.00,5.0,1.01,5
Rui Hachimura,u12.5 Points,,LAL,,3.00,2.50,4.20,5.0,1.02,5
Shai Gilgeous-Alexander,u6.5 Assists,,OKC,,1.40,1.50,1.90,5.0,0.99,5
Rui Hachimura,u15.5 Points + Rebounds,,LAL,,3.00,2.50,2.00,5.0,1.06,5
Marcus Smart,u15.5 Pts + Reb + Ast,,LAL,,2.40,1.50,2.00,5.0,1.10,5
LeBron James,u32.5 Pts + Reb + Ast,,LAL,,1.60,1.50,2.00,5.0,1.01,5
Luguentz Dort,u1.5 Three Pointers,,OKC,,2.20,2.10,2.00,5.0,1.01,5
LeBron James,u6.5 Assists,,LAL,,1.60,1.50,1.90,5.0,1.01,5
LeBron James,u27.5 Points + Assists,,LAL,,1.60,1.50,2.00,5.0,1.01,5
LeBron James,u26.5 Points + Rebounds,,LAL,,1.60,1.50,2.00,5.0,1.01,5
Luguentz Dort,u2.5 Q1 Points,,OKC,,2.20,2.10,2.00,5.0,1.01,5
LeBron James,u25.5 Points + Rebounds,,LAL,,1.60,1.50,2.00,5.0,1.01,5
LeBron James,u26.5 Points + Assists,,LAL,,1.60,1.50,2.00,5.0,1.01,5
Rui Hachimura,u1.5 Three Pointers,,LAL,,3.00,2.50,2.00,5.0,1.06,5
LeBron James,u18.5 Points,,LAL,,1.60,1.50,4.20,5.0,1.00,5
Austin Reaves,u17.5 Points,,LAL,,18.00,20.90,4.20,5.0,0.94,5
Austin Reaves,u16.5 Points,,LAL,,18.00,20.90,4.20,5.0,0.94,5
Luguentz Dort,u5.5 Points,,OKC,,2.20,2.10,4.20,5.0,1.00,5
Austin Reaves,u1.5 Three Pointers,,LAL,,18.00,20.90,2.00,5.0,0.93,5
Ajay Mitchell,u0.5 Three Pointers,,OKC,,13.40,11.50,2.00,5.0,1.08,5
Chet Holmgren,u0.5 Three Pointers,,OKC,,9.60,8.70,2.00,5.0,1.05,5
Jaylin Williams,u0.5 Three Pointers,,OKC,,4.20,4.00,2.00,5.0,1.02,5
